,title,year,rated,released,runtime,genre,director,actors,plot,awards
57,The Onion Movie,2008,Not Rated,07 Jan 2008,86 min,Comedy,"Tom Kuntz, Mike Maguire","Len Cariou, Sarah McElligott, Amir Talai",Satirical interpretations of world events and curious human behavior.,N/A
58,The Greatest Movie Ever Sold,2011,PG-13,24 Aug 2011,90 min,"Documentary, Comedy",Morgan Spurlock,"J.J. Abrams, Peter Berg, Paul Brennan","A documentary about branding, advertising and product placement that is financed and made possible by brands, advertising and product placement.",2 wins & 5 nominations
59,A Shaun the Sheep Movie: Farmageddon,2019,G,14 Feb 2020,86 min,"Animation, Adventure, Comedy","Will Becher, Richard Phelan","Justin Fletcher, John Sparkes, Amalia Vitale","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",Nominated for 1 Oscar. 2 wins & 21 nominations total
60,Pokémon 3 the Movie: Spell of the Unown,2000,G,06 Apr 2001,93 min,"Animation, Action, Adventure",Kunihiko Yuyama,"Veronica Taylor, Eric Stuart, Rica Matsumoto","In the town of Greenfield, a young, lonely girl's dreams and wishes are brought into reality by a collective of reality-warping Pokémon.",N/A
61,Santa Claus: The Movie,1985,PG,27 Nov 1985,107 min,"Adventure, Family, Fantasy",Jeannot Szwarc,"Dudley Moore, John Lithgow, David Huddleston",The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,N/A
62,Cheech and Chong's Next Movie,1980,R,18 Jul 1980,99 min,"Comedy, Crime, Sci-Fi",Tommy Chong,"Cheech Marin, Tommy Chong, Evelyn Guerrero","Cheech and Chong live in a decrepit old house and drive their neighbour crazy with their loud music, weed smoking and general anarchy and slacker view on life. Then Chong meets Cheech's Texan cousin Red and things kick up a notch.",1 nomination
63,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,R,13 Apr 2007,86 min,"Animation, Action, Adventure","Matt Maiellaro, Dave Willis","Dana Snyder, Dave Willis, Carey Means","An action epic that explores the origins of Master Shake, Frylock, and Meatwad, better known as the Aqua Teen Hunger Force, who somehow become pitted in a battle over an immortal piece of exercise equipment.",N/A
64,Teen Beach Movie,2013,Not Rated,19 Jul 2013,110 min,"Comedy, Family, Fantasy",Jeffrey Hornaday,"Ross Lynch, Maia Mitchell, Gracie Gillam","Two surfing lovers, whose doomed relationship is nearing to a close, find themselves swept into a dimension-traversing wave that sends them into a beach movie musical in the 60's.",2 nominations
65,Trailer Park Boys: The Movie,2006,R,06 Oct 2006,95 min,"Comedy, Crime",Mike Clattenburg,"Robb Wells, John Paul Tremblay, Mike Smith","Ricky, Julian, and Bubbles come up with a scheme to steal large amounts of untraceable coins.",3 nominations
66,My Scientology Movie,2015,Not Rated,10 Mar 2017,99 min,Documentary,John Dower,"Louis Theroux, Tom Cruise, Marty Rathbun",Louis Theroux documents his investigation into what goes on behind the scenes of the infamous Church of Scientology.,4 nominations
67,Teen Wolf: The Movie,2023,TV-MA,26 Jan 2023,140 min,"Action, Drama, Fantasy",Russell Mulcahy,"Tyler Posey, Crystal Reed, Holland Roden","A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",1 nomination
68,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,TV-G,05 Aug 2011,78 min,"Animation, Action, Adventure","Robert Hughes, Dan Povenmire, Jay Lender","Vincent Martella, Ashley Tisdale, Thomas Brodie-Sangster","Phineas and Ferb discover that Perry is a secret agent, and they all get stuck in an alternate dimension where Doofenschmirtz is the ruler of the tri-state area.",Nominated for 1 Primetime Emmy. 3 wins & 4 nominations total
69,Absolutely Fabulous: The Movie,2016,R,22 Jul 2016,91 min,"Comedy, Crime",Mandie Fletcher,"Jennifer Saunders, Joanna Lumley, Jane Horrocks","After attracting both media and police attention for accidentally knocking Kate Moss into the River Thames, Edina and Patsy hide out in the south of France.",1 win & 8 nominations
